dominant_topic,year_month,compound,document_count
0,2019-03,0.4759,5
0,2020-01,0.2935,6
0,2020-02,0.0279,23
0,2020-03,0.2188,2
0,2020-05,0.8008,48
0,2020-06,0.4004,79
0,2020-07,0.3429,56
0,2020-08,0.3117,47
0,2020-09,0.3351,72
0,2020-10,0.2337,82
0,2020-11,0.3568,52
0,2020-12,0.5151,185
0,2021-01,0.5492,159
0,2021-02,0.3835,70
0,2021-03,0.5942,79
0,2021-04,0.292,199
0,2021-05,0.4754,83
0,2021-06,0.3115,69
0,2021-07,0.2137,87
0,2021-08,0.2649,48
0,2021-09,0.4105,8
0,2021-10,0.2976,42
0,2021-11,0.3854,16
0,2021-12,0.7612,16
0,2022-01,0.2467,50
0,2022-02,0.4631,17
0,2022-03,-0.0222,11
0,2022-04,0.294,147
0,2022-05,0.5979,17
0,2022-06,-0.0459,7
0,2022-07,0.5121,75
0,2022-08,0.2396,30
0,2022-09,0.3892,62
0,2022-10,0.105,55
0,2022-11,0.4248,52
0,2022-12,0.4074,93
0,2023-01,0.1798,132
0,2023-02,0.1868,179
0,2023-03,0.2953,96
0,2023-04,0.251,182
0,2023-05,0.2692,161
0,2023-06,0.277,445
0,2023-07,0.2737,139
0,2023-08,0.2445,169
0,2023-09,0.1929,41
0,2023-10,0.2296,109
0,2023-11,0.2159,54
0,2023-12,0.2383,151
0,2024-01,0.1624,93
0,2024-02,0.1474,122
0,2024-03,0.2322,528
0,2024-04,0.2782,283
0,2024-05,0.2971,335
0,2024-06,0.3028,294
0,2024-07,0.3755,313
0,2024-08,0.1958,230
0,2024-09,0.409,571
0,2024-10,0.3219,641
0,2024-11,0.3492,350
0,2024-12,0.3426,687
0,2025-01,0.3398,806
0,2025-02,0.4367,416
0,2025-03,0.3863,784
0,2025-04,0.2917,722
0,2025-05,0.3669,770
0,2025-06,0.3972,855
0,2025-07,0.3085,617
0,2025-08,0.3681,564
0,2025-09,0.375,404
0,2025-10,0.2648,3542
1,2019-03,0.3816,9
1,2020-02,0.0951,4
1,2020-03,-0.0373,3
1,2020-05,0.5635,3
1,2020-06,0.3496,59
1,2020-07,0.4309,26
1,2020-08,0.1967,24
1,2020-09,0.162,56
1,2020-10,0.4664,51
1,2020-11,0.1472,12
1,2020-12,0.494,100
1,2021-01,0.3078,39
1,2021-02,0.499,6
1,2021-03,0.4029,21
1,2021-04,0.3651,71
1,2021-05,0.4345,25
1,2021-06,0.1112,6
1,2021-07,0.323,3
1,2021-08,0.2427,8
1,2021-09,0.1777,2
1,2021-10,0.2742,4
1,2021-11,0.3823,11
1,2021-12,0.0258,1
1,2022-01,0.1573,5
1,2022-02,0.2641,7
1,2022-04,0.4093,53
1,2022-05,0.5253,4
1,2022-06,-0.7173,3
1,2022-07,0.3239,18
1,2022-08,0.2881,55
1,2022-09,0.1726,22
1,2022-10,0.1288,29
1,2022-11,0.448,19
1,2022-12,0.6123,17
1,2023-01,0.2572,37
1,2023-02,0.3831,65
1,2023-03,0.2839,61
1,2023-04,0.3181,68
1,2023-05,0.3214,92
1,2023-06,0.5097,65
1,2023-07,0.365,17
1,2023-08,0.4171,18
1,2023-09,0.1106,8
1,2023-10,0.313,12
1,2023-11,0.1294,6
1,2023-12,0.0489,6
1,2024-01,0.2103,25
1,2024-02,0.3381,13
1,2024-03,0.3961,35
1,2024-04,0.239,46
1,2024-05,0.2179,44
1,2024-06,0.3638,48
1,2024-07,0.4556,77
1,2024-08,0.1769,129
1,2024-09,0.3563,167
1,2024-10,0.4584,126
1,2024-11,0.3968,136
1,2024-12,0.3373,87
1,2025-01,0.3882,153
1,2025-02,0.3922,156
1,2025-03,0.2754,197
1,2025-04,0.3176,139
1,2025-05,0.2776,183
1,2025-06,0.4138,155
1,2025-07,0.3407,95
1,2025-08,0.3959,96
1,2025-09,0.4731,69
1,2025-10,0.3298,1436
2,2020-05,0.3182,1
2,2020-06,0.3182,1
2,2020-07,0.3182,3
2,2020-08,0.3182,1
2,2020-09,0.3182,2
2,2020-10,0.3182,4
2,2020-11,0.3182,2
2,2020-12,0.3182,2
2,2021-03,-0.0094,1
2,2023-04,0.3011,4
2,2023-05,-0.3818,3
2,2023-06,0.5574,7
2,2023-07,0.5574,1
2,2023-08,0.5574,2
2,2023-10,0.5574,1
2,2023-11,0.5574,1
2,2023-12,0.1431,4
2,2024-02,0.5574,1
2,2024-03,0.5574,7
2,2024-04,0.5574,7
2,2024-05,0.4459,5
2,2024-06,0.5574,6
2,2024-07,0.5574,6
2,2024-08,-0.1843,4
2,2024-09,0.5574,16
2,2024-10,0.5052,18
2,2024-11,0.5574,7
2,2024-12,0.4322,15
2,2025-01,0.5574,19
2,2025-02,0.4936,17
2,2025-03,0.5198,25
2,2025-04,0.4433,13
2,2025-05,0.5574,22
2,2025-06,0.5198,25
2,2025-07,0.4989,21
2,2025-08,0.502,15
2,2025-09,0.5574,22
2,2025-10,0.2587,317
